yy,dat,trip,effort,gr,sp,l_cm,w_cm
2003,5/13/2003,45,10,Trap,Caesio cuning,34,915.8275571
2003,5/13/2003,45,10,Trap,Caesio cuning,31,692.102253
2003,5/14/2003,46,10,Trap,Caesio cuning,24,318.522314
2003,5/14/2003,46,10,Trap,Caesio cuning,23,279.9590295
2003,5/14/2003,46,10,Trap,Caesio cuning,33,836.5681066
2003,5/14/2003,46,10,Trap,Caesio cuning,39,1388.319541
2003,5/14/2003,46,10,Trap,Caesio cuning,31,692.102253
2003,5/14/2003,46,10,Trap,Caesio cuning,31,692.102253
2003,5/14/2003,46,10,Trap,Caesio cuning,23,279.9590295
2003,5/14/2003,49,10,Trap,Caesio cuning,27,455.244325
2003,5/15/2003,50,10,Trap,Caesio cuning,26,406.0182179
2003,5/15/2003,50,10,Trap,Caesio cuning,32,762.0423352
2003,5/15/2003,50,10,Trap,Caesio cuning,33,836.5681066
2003,5/15/2003,50,10,Trap,Caesio cuning,32,762.0423352
2003,5/16/2003,51,10,Trap,Caesio cuning,36,1089.140174
2003,5/16/2003,51,10,Trap,Caesio cuning,32,762.0423352
2003,5/16/2003,51,10,Trap,Caesio cuning,31,692.102253
2003,5/16/2003,51,10,Trap,Caesio cuning,27,455.244325
2003,5/16/2003,51,10,Trap,Caesio cuning,28,508.318502
2003,5/16/2003,51,10,Trap,Caesio cuning,26,406.0182179
2003,5/16/2003,51,10,Trap,Caesio cuning,30,626.6000187
2003,5/18/2003,52,10,Gillnet,Caesio cuning,23,279.9590295
2003,5/18/2003,52,10,Gillnet,Caesio cuning,20,183.2510568
2003,5/18/2003,52,10,Gillnet,Caesio cuning,22,244.6568545
2003,5/18/2003,52,10,Gillnet,Caesio cuning,34,915.8275571
2003,5/18/2003,52,10,Gillnet,Caesio cuning,20,183.2510568
2003,5/18/2003,52,10,Gillnet,Caesio cuning,25,360.4931604
2003,5/18/2003,52,10,Gillnet,Caesio cuning,21,212.4695414
2003,5/18/2003,52,10,Gillnet,Caesio cuning,32,762.0423352
2003,5/18/2003,52,10,Gillnet,Caesio cuning,19,156.8555911
2003,5/18/2003,52,10,Gillnet,Caesio cuning,22,244.6568545
2003,5/18/2003,52,10,Gillnet,Caesio cuning,24,318.522314
2003,5/18/2003,52,10,Gillnet,Caesio cuning,33,836.5681066
2003,5/19/2003,53,10,Gillnet,Caesio cuning,34,915.8275571
2003,5/19/2003,55,10,Trap,Caesio cuning,30,626.6000187
2003,5/19/2003,55,10,Trap,Caesio cuning,29,565.3879448
2003,5/19/2003,55,10,Trap,Caesio cuning,25,360.4931604
2003,5/19/2003,55,10,Trap,Caesio cuning,26,406.0182179
2003,5/21/2003,63,10,Gillnet,Caesio cuning,26,406.0182179
2003,5/21/2003,63,10,Gillnet,Caesio cuning,22,244.6568545
2003,5/21/2003,65,10,Trap,Caesio cuning,29,565.3879448
2003,5/25/2003,80,10,Muroami,Caesio cuning,29,565.3879448
2003,9/6/2003,81,10,Muroami,Caesio cuning,23,279.9590295
2003,9/6/2003,81,10,Muroami,Caesio cuning,28,508.318502
2003,9/6/2003,81,10,Muroami,Caesio cuning,23,279.9590295
2003,9/6/2003,81,10,Muroami,Caesio cuning,27,455.244325
2003,9/6/2003,81,10,Muroami,Caesio cuning,34,915.8275571
2003,9/6/2003,81,10,Muroami,Caesio cuning,35,999.9688213
2003,9/7/2003,82,10,Muroami,Caesio cuning,29,565.3879448
2003,9/7/2003,82,10,Muroami,Caesio cuning,31,692.102253
2003,9/7/2003,82,10,Muroami,Caesio cuning,32,762.0423352
2003,9/7/2003,82,10,Muroami,Caesio cuning,23,279.9590295
2003,9/7/2003,84,10,Muroami,Caesio cuning,23,279.9590295
2003,9/7/2003,84,10,Muroami,Caesio cuning,21,212.4695414
2003,9/7/2003,84,10,Muroami,Caesio cuning,26,406.0182179
2003,9/7/2003,84,10,Muroami,Caesio cuning,29,565.3879448
2003,9/7/2003,84,10,Muroami,Caesio cuning,26,406.0182179
2003,9/7/2003,85,10,Muroami,Caesio cuning,21,212.4695414
2003,9/7/2003,85,10,Muroami,Caesio cuning,22,244.6568545
2003,9/7/2003,85,10,Muroami,Caesio cuning,21,212.4695414
2003,9/7/2003,85,10,Muroami,Caesio cuning,23,279.9590295
2003,9/7/2003,85,10,Muroami,Caesio cuning,22,244.6568545
2003,9/7/2003,85,10,Muroami,Caesio cuning,25,360.4931604
2003,9/7/2003,85,10,Muroami,Caesio cuning,27,455.244325
2003,9/7/2003,85,10,Muroami,Caesio cuning,23,279.9590295
2003,9/7/2003,85,10,Muroami,Caesio cuning,21,212.4695414
2003,9/9/2003,86,10,Muroami,Caesio cuning,30,626.6000187
2003,9/9/2003,86,10,Muroami,Caesio cuning,24,318.522314
2003,9/9/2003,86,10,Muroami,Caesio cuning,19,156.8555911
2003,9/9/2003,86,10,Muroami,Caesio cuning,24,318.522314
2003,9/9/2003,86,10,Muroami,Caesio cuning,22,244.6568545
2003,9/9/2003,86,10,Muroami,Caesio cuning,21,212.4695414
2003,9/9/2003,86,10,Muroami,Caesio cuning,23,279.9590295
2003,9/9/2003,86,10,Muroami,Caesio cuning,22,244.6568545
2003,9/9/2003,86,10,Muroami,Caesio cuning,26,406.0182179
2003,9/9/2003,86,10,Muroami,Caesio cuning,18,133.1375697
2003,9/9/2003,86,10,Muroami,Caesio cuning,24,318.522314
2003,9/9/2003,86,10,Muroami,Caesio cuning,24,318.522314
2003,9/9/2003,86,10,Muroami,Caesio cuning,23,279.9590295
2003,9/9/2003,86,10,Muroami,Caesio cuning,24,318.522314
2003,9/9/2003,86,10,Muroami,Caesio cuning,24,318.522314
2003,9/9/2003,86,10,Muroami,Caesio cuning,23,279.9590295
2003,9/9/2003,86,10,Muroami,Caesio cuning,23,279.9590295
2003,9/9/2003,86,10,Muroami,Caesio cuning,24,318.522314
2003,9/9/2003,86,10,Muroami,Caesio cuning,22,244.6568545
2003,9/9/2003,86,10,Muroami,Caesio cuning,25,360.4931604
2003,9/9/2003,86,10,Muroami,Caesio cuning,32,762.0423352
2003,9/9/2003,86,10,Muroami,Caesio cuning,24,318.522314
2003,9/9/2003,86,10,Muroami,Caesio cuning,25,360.4931604
2003,9/9/2003,86,10,Muroami,Caesio cuning,27,455.244325
2003,9/9/2003,86,10,Muroami,Caesio cuning,24,318.522314
2003,9/9/2003,86,10,Muroami,Caesio cuning,23,279.9590295
2003,9/9/2003,86,10,Muroami,Caesio cuning,30,626.6000187
2003,9/9/2003,86,10,Muroami,Caesio cuning,25,360.4931604
2003,9/10/2003,87,10,Muroami,Caesio cuning,28,508.318502
2003,9/10/2003,87,10,Muroami,Caesio cuning,30,626.6000187
2003,9/10/2003,87,10,Muroami,Caesio cuning,27,455.244325
2003,9/10/2003,87,10,Muroami,Caesio cuning,31,692.102253
2003,9/10/2003,87,10,Muroami,Caesio cuning,34,915.8275571
2003,9/10/2003,87,10,Muroami,Caesio cuning,32,762.0423352
2003,9/10/2003,87,10,Muroami,Caesio cuning,35,999.9688213
2003,9/10/2003,87,10,Muroami,Caesio cuning,34,915.8275571
2003,9/10/2003,87,10,Muroami,Caesio cuning,28,508.318502
2003,9/10/2003,87,10,Muroami,Caesio cuning,27,455.244325
2003,9/10/2003,87,10,Muroami,Caesio cuning,33,836.5681066
2003,9/10/2003,87,10,Muroami,Caesio cuning,25,360.4931604
2003,9/10/2003,87,10,Muroami,Caesio cuning,30,626.6000187
2003,9/10/2003,87,10,Muroami,Caesio cuning,26,406.0182179
2003,9/10/2003,87,10,Muroami,Caesio cuning,28,508.318502
2003,9/10/2003,87,10,Muroami,Caesio cuning,26,406.0182179
2003,9/10/2003,87,10,Muroami,Caesio cuning,18,133.1375697
2003,9/10/2003,87,10,Muroami,Caesio cuning,28,508.318502
2003,9/10/2003,87,10,Muroami,Caesio cuning,17,111.9516643
2003,9/10/2003,87,10,Muroami,Caesio cuning,23,279.9590295
2003,9/10/2003,87,10,Muroami,Caesio cuning,22,244.6568545
2003,9/13/2003,88,10,Muroami,Caesio cuning,33,836.5681066
2003,9/13/2003,88,10,Muroami,Caesio cuning,26,406.0182179
2003,9/13/2003,88,10,Muroami,Caesio cuning,29,565.3879448
2003,9/13/2003,88,10,Muroami,Caesio cuning,34,915.8275571
2003,9/13/2003,88,10,Muroami,Caesio cuning,28,508.318502
2003,9/13/2003,88,10,Muroami,Caesio cuning,34,915.8275571
2003,9/13/2003,88,10,Muroami,Caesio cuning,38,1283.166925
2003,9/13/2003,88,10,Muroami,Caesio cuning,36,1089.140174
2003,9/13/2003,88,10,Muroami,Caesio cuning,25,360.4931604
2003,9/13/2003,88,10,Muroami,Caesio cuning,36,1089.140174
2003,9/13/2003,88,10,Muroami,Caesio cuning,25,360.4931604
2003,9/13/2003,88,10,Muroami,Caesio cuning,29,565.3879448
2003,9/13/2003,88,10,Muroami,Caesio cuning,34,915.8275571
2003,9/13/2003,88,10,Muroami,Caesio cuning,35,999.9688213
2003,9/13/2003,88,10,Muroami,Caesio cuning,31,692.102253
2003,9/13/2003,88,10,Muroami,Caesio cuning,26,406.0182179
2003,9/13/2003,88,10,Muroami,Caesio cuning,24,318.522314
2003,9/13/2003,88,10,Muroami,Caesio cuning,34,915.8275571
2003,9/13/2003,88,10,Muroami,Caesio cuning,33,836.5681066
2003,9/13/2003,88,10,Muroami,Caesio cuning,33,836.5681066
2003,9/13/2003,88,10,Muroami,Caesio cuning,34,915.8275571
2003,9/13/2003,88,10,Muroami,Caesio cuning,34,915.8275571
2003,9/13/2003,88,10,Muroami,Caesio cuning,34,915.8275571
2003,9/13/2003,88,10,Muroami,Caesio cuning,26,406.0182179
2003,9/13/2003,88,10,Muroami,Caesio cuning,35,999.9688213
2003,9/13/2003,88,10,Muroami,Caesio cuning,33,836.5681066
2003,9/13/2003,88,10,Muroami,Caesio cuning,25,360.4931604
2003,9/13/2003,88,10,Muroami,Caesio cuning,32,762.0423352
2003,9/13/2003,88,10,Muroami,Caesio cuning,29,565.3879448
2003,9/13/2003,88,10,Muroami,Caesio cuning,32,762.0423352
2003,9/13/2003,88,10,Muroami,Caesio cuning,31,692.102253
2003,9/13/2003,88,10,Muroami,Caesio cuning,31,692.102253
2003,9/13/2003,88,10,Muroami,Caesio cuning,34,915.8275571
2003,9/13/2003,88,10,Muroami,Caesio cuning,24,318.522314
2003,9/13/2003,88,10,Muroami,Caesio cuning,39,1388.319541
2003,9/13/2003,88,10,Muroami,Caesio cuning,24,318.522314
2003,9/13/2003,88,10,Muroami,Caesio cuning,32,762.0423352
2003,9/13/2003,88,10,Muroami,Caesio cuning,21,212.4695414
2003,9/13/2003,88,10,Muroami,Caesio cuning,21,212.4695414
2003,9/13/2003,88,10,Muroami,Caesio cuning,20,183.2510568
2003,9/13/2003,88,10,Muroami,Caesio cuning,20,183.2510568
2003,9/13/2003,88,10,Muroami,Caesio cuning,21,212.4695414
2003,9/13/2003,88,10,Muroami,Caesio cuning,24,318.522314
2003,9/13/2003,88,10,Muroami,Caesio cuning,21,212.4695414
2003,9/13/2003,88,10,Muroami,Caesio cuning,18,133.1375697
2003,9/13/2003,88,10,Muroami,Caesio cuning,15,76.59620462
2003,9/13/2003,88,10,Muroami,Caesio cuning,23,279.9590295
2003,9/15/2003,89,10,Muroami,Caesio cuning,21,212.4695414
2003,9/15/2003,89,10,Muroami,Caesio cuning,20,183.2510568
2003,9/15/2003,89,10,Muroami,Caesio cuning,21,212.4695414
2003,9/15/2003,89,10,Muroami,Caesio cuning,24,318.522314
2003,9/15/2003,89,10,Muroami,Caesio cuning,21,212.4695414
2003,9/15/2003,89,10,Muroami,Caesio cuning,18,133.1375697
2003,9/15/2003,89,10,Muroami,Caesio cuning,15,76.59620462
2003,9/18/2003,90,10,Muroami,Caesio cuning,31,692.102253
2003,9/18/2003,90,10,Muroami,Caesio cuning,27,455.244325
2003,9/18/2003,90,10,Muroami,Caesio cuning,25,360.4931604
2003,9/18/2003,90,10,Muroami,Caesio cuning,25,360.4931604
2003,9/18/2003,90,10,Muroami,Caesio cuning,29,565.3879448
2003,9/18/2003,90,10,Muroami,Caesio cuning,25,360.4931604
2003,9/18/2003,90,10,Muroami,Caesio cuning,29,565.3879448
2003,9/18/2003,90,10,Muroami,Caesio cuning,26,406.0182179
2003,9/18/2003,90,10,Muroami,Caesio cuning,19,156.8555911
2003,9/18/2003,90,10,Muroami,Caesio cuning,17,111.9516643
2003,9/18/2003,90,10,Muroami,Caesio cuning,26,406.0182179
2003,9/18/2003,90,10,Muroami,Caesio cuning,30,626.6000187
2003,9/18/2003,90,10,Muroami,Caesio cuning,26,406.0182179
2003,9/18/2003,90,10,Muroami,Caesio cuning,28,508.318502
2003,9/18/2003,90,10,Muroami,Caesio cuning,28,508.318502
2003,9/18/2003,90,10,Muroami,Caesio cuning,27,455.244325
2003,9/18/2003,90,10,Muroami,Caesio cuning,20,183.2510568
2003,9/18/2003,90,10,Muroami,Caesio cuning,26,406.0182179
2003,9/18/2003,90,10,Muroami,Caesio cuning,31,692.102253
2003,9/18/2003,90,10,Muroami,Caesio cuning,28,508.318502
2003,9/18/2003,90,10,Muroami,Caesio cuning,28,508.318502
2003,9/18/2003,90,10,Muroami,Caesio cuning,28,508.318502
2003,9/18/2003,90,10,Muroami,Caesio cuning,24,318.522314
2003,9/18/2003,90,10,Muroami,Caesio cuning,28,508.318502
2003,9/18/2003,90,10,Muroami,Caesio cuning,34,915.8275571
2003,9/18/2003,90,10,Muroami,Caesio cuning,24,318.522314
2003,9/18/2003,90,10,Muroami,Caesio cuning,23,279.9590295
2003,9/18/2003,90,10,Muroami,Caesio cuning,24,318.522314
2003,9/18/2003,90,10,Muroami,Caesio cuning,26,406.0182179
2003,9/18/2003,90,10,Muroami,Caesio cuning,23,279.9590295
2003,9/18/2003,90,10,Muroami,Caesio cuning,32,762.0423352
2003,9/18/2003,90,10,Muroami,Caesio cuning,24,318.522314
2003,9/18/2003,90,10,Muroami,Caesio cuning,27,455.244325
2003,9/18/2003,90,10,Muroami,Caesio cuning,23,279.9590295
2003,9/18/2003,90,10,Muroami,Caesio cuning,23,279.9590295
2003,9/18/2003,90,10,Muroami,Caesio cuning,26,406.0182179
2003,9/18/2003,90,10,Muroami,Caesio cuning,27,455.244325
2003,9/18/2003,90,10,Muroami,Caesio cuning,26,406.0182179
2003,9/20/2003,91,10,Muroami,Caesio cuning,29,565.3879448
2003,9/20/2003,91,10,Muroami,Caesio cuning,29,565.3879448
2003,9/20/2003,91,10,Muroami,Caesio cuning,28,508.318502
2003,9/20/2003,91,10,Muroami,Caesio cuning,26,406.0182179
2003,9/20/2003,91,10,Muroami,Caesio cuning,32,762.0423352
2003,9/20/2003,91,10,Muroami,Caesio cuning,27,455.244325
2003,9/20/2003,91,10,Muroami,Caesio cuning,24,318.522314
2003,9/20/2003,91,10,Muroami,Caesio cuning,26,406.0182179
2003,9/20/2003,91,10,Muroami,Caesio cuning,25,360.4931604
2003,9/20/2003,91,10,Muroami,Caesio cuning,27,455.244325
2003,9/20/2003,91,10,Muroami,Caesio cuning,29,565.3879448
2003,9/20/2003,91,10,Muroami,Caesio cuning,29,565.3879448
2003,9/20/2003,91,10,Muroami,Caesio cuning,29,565.3879448
2003,9/20/2003,91,10,Muroami,Caesio cuning,26,406.0182179
2003,9/20/2003,91,10,Muroami,Caesio cuning,24,318.522314
2003,9/20/2003,91,10,Muroami,Caesio cuning,28,508.318502
2003,9/20/2003,91,10,Muroami,Caesio cuning,25,360.4931604
2003,9/20/2003,91,10,Muroami,Caesio cuning,27,455.244325
2003,9/20/2003,91,10,Muroami,Caesio cuning,29,565.3879448
2003,9/20/2003,91,10,Muroami,Caesio cuning,32,762.0423352
2003,9/20/2003,91,10,Muroami,Caesio cuning,23,279.9590295
2003,9/20/2003,91,10,Muroami,Caesio cuning,35,999.9688213
2003,9/20/2003,91,10,Muroami,Caesio cuning,26,406.0182179
2003,9/20/2003,91,10,Muroami,Caesio cuning,21,212.4695414
2003,9/20/2003,91,10,Muroami,Caesio cuning,23,279.9590295
2003,9/20/2003,91,10,Muroami,Caesio cuning,26,406.0182179
2003,9/20/2003,91,10,Muroami,Caesio cuning,20,183.2510568
2003,9/20/2003,91,10,Muroami,Caesio cuning,35,999.9688213
2003,9/20/2003,91,10,Muroami,Caesio cuning,31,692.102253
2003,9/20/2003,91,10,Muroami,Caesio cuning,30,626.6000187
2003,9/20/2003,91,10,Muroami,Caesio cuning,26,406.0182179
2003,9/20/2003,91,10,Muroami,Caesio cuning,23,279.9590295
2003,9/20/2003,91,10,Muroami,Caesio cuning,25,360.4931604
2003,9/20/2003,91,10,Muroami,Caesio cuning,25,360.4931604
2003,9/20/2003,91,10,Muroami,Caesio cuning,30,626.6000187
2003,9/20/2003,91,10,Muroami,Caesio cuning,27,455.244325
2003,9/20/2003,91,10,Muroami,Caesio cuning,25,360.4931604
2003,9/20/2003,91,10,Muroami,Caesio cuning,24,318.522314
2003,9/20/2003,91,10,Muroami,Caesio cuning,27,455.244325
2003,9/20/2003,91,10,Muroami,Caesio cuning,24,318.522314
2003,9/20/2003,91,10,Muroami,Caesio cuning,26,406.0182179
2003,9/20/2003,91,10,Muroami,Caesio cuning,28,508.318502
2003,9/20/2003,91,10,Muroami,Caesio cuning,24,318.522314
2003,9/20/2003,91,10,Muroami,Caesio cuning,26,406.0182179
2003,9/20/2003,91,10,Muroami,Caesio cuning,27,455.244325
2003,9/20/2003,91,10,Muroami,Caesio cuning,27,455.244325
2003,9/20/2003,91,10,Muroami,Caesio cuning,27,455.244325
2003,9/20/2003,91,10,Muroami,Caesio cuning,25,360.4931604
2003,9/20/2003,91,10,Muroami,Caesio cuning,26,406.0182179
2003,9/20/2003,91,10,Muroami,Caesio cuning,26,406.0182179
2003,9/20/2003,91,10,Muroami,Caesio cuning,29,565.3879448
2003,9/20/2003,91,10,Muroami,Caesio cuning,25,360.4931604
2003,9/20/2003,91,10,Muroami,Caesio cuning,26,406.0182179
2003,9/20/2003,91,10,Muroami,Caesio cuning,26,406.0182179
2003,9/20/2003,91,10,Muroami,Caesio cuning,32,762.0423352
2003,9/20/2003,91,10,Muroami,Caesio cuning,25,360.4931604
2003,9/20/2003,91,10,Muroami,Caesio cuning,25,360.4931604
2003,9/20/2003,91,10,Muroami,Caesio cuning,26,406.0182179
2003,9/20/2003,91,10,Muroami,Caesio cuning,24,318.522314
2003,9/20/2003,91,10,Muroami,Caesio cuning,23,279.9590295
2003,9/20/2003,91,10,Muroami,Caesio cuning,26,406.0182179
2003,9/21/2003,92,10,Muroami,Caesio cuning,31,692.102253
2003,9/21/2003,92,10,Muroami,Caesio cuning,26,406.0182179
2003,9/21/2003,92,10,Muroami,Caesio cuning,25,360.4931604
2003,9/21/2003,92,10,Muroami,Caesio cuning,27,455.244325
2003,9/21/2003,92,10,Muroami,Caesio cuning,22,244.6568545
2003,9/21/2003,92,10,Muroami,Caesio cuning,22,244.6568545
2003,9/21/2003,92,10,Muroami,Caesio cuning,22,244.6568545
2003,9/21/2003,92,10,Muroami,Caesio cuning,20,183.2510568
2003,9/21/2003,92,10,Muroami,Caesio cuning,25,360.4931604
2003,9/21/2003,92,10,Muroami,Caesio cuning,25,360.4931604
2003,9/21/2003,92,10,Muroami,Caesio cuning,23,279.9590295
2003,9/21/2003,92,10,Muroami,Caesio cuning,27,455.244325
2003,9/21/2003,92,10,Muroami,Caesio cuning,22,244.6568545
2003,9/21/2003,92,10,Muroami,Caesio cuning,21,212.4695414
2003,9/21/2003,92,10,Muroami,Caesio cuning,21,212.4695414
2003,9/21/2003,92,10,Muroami,Caesio cuning,21,212.4695414
2003,9/21/2003,92,10,Muroami,Caesio cuning,21,212.4695414
2003,9/21/2003,92,10,Muroami,Caesio cuning,22,244.6568545
2003,9/21/2003,92,10,Muroami,Caesio cuning,29,565.3879448
2003,9/21/2003,92,10,Muroami,Caesio cuning,21,212.4695414
2003,9/21/2003,92,10,Muroami,Caesio cuning,20,183.2510568
2003,9/21/2003,92,10,Muroami,Caesio cuning,22,244.6568545
2003,9/21/2003,92,10,Muroami,Caesio cuning,23,279.9590295
2003,9/21/2003,92,10,Muroami,Caesio cuning,19,156.8555911
2003,9/21/2003,92,10,Muroami,Caesio cuning,18,133.1375697
2003,9/21/2003,92,10,Muroami,Caesio cuning,23,279.9590295
2003,9/21/2003,92,10,Muroami,Caesio cuning,27,455.244325
2003,9/22/2003,93,10,Muroami,Caesio cuning,37,1183.490027
2003,9/22/2003,93,10,Muroami,Caesio cuning,17,111.9516643
2003,9/22/2003,93,10,Muroami,Caesio cuning,32,762.0423352
2003,9/22/2003,93,10,Muroami,Caesio cuning,24,318.522314
2003,9/22/2003,93,10,Muroami,Caesio cuning,26,406.0182179
2003,9/22/2003,93,10,Muroami,Caesio cuning,30,626.6000187
2003,9/22/2003,93,10,Muroami,Caesio cuning,14,62.13735529
2003,9/22/2003,93,10,Muroami,Caesio cuning,29,565.3879448
2003,9/22/2003,93,10,Muroami,Caesio cuning,16,93.15280705
2003,9/22/2003,94,10,Muroami,Caesio cuning,32,762.0423352
2003,9/22/2003,94,10,Muroami,Caesio cuning,32,762.0423352
2003,9/22/2003,94,10,Muroami,Caesio cuning,26,406.0182179
2003,9/22/2003,94,10,Muroami,Caesio cuning,23,279.9590295
2003,9/22/2003,94,10,Muroami,Caesio cuning,26,406.0182179
2003,9/22/2003,94,10,Muroami,Caesio cuning,27,455.244325
2003,9/23/2003,95,10,Muroami,Caesio cuning,32,762.0423352
2003,9/23/2003,95,10,Muroami,Caesio cuning,25,360.4931604
2003,9/23/2003,95,10,Muroami,Caesio cuning,23,279.9590295
2003,9/23/2003,95,10,Muroami,Caesio cuning,25,360.4931604
2003,9/23/2003,95,10,Muroami,Caesio cuning,24,318.522314
2003,9/23/2003,95,10,Muroami,Caesio cuning,26,406.0182179
2003,9/23/2003,95,10,Muroami,Caesio cuning,30,626.6000187
2003,9/23/2003,95,10,Muroami,Caesio cuning,26,406.0182179
2003,9/23/2003,95,10,Muroami,Caesio cuning,26,406.0182179
2003,9/23/2003,95,10,Muroami,Caesio cuning,17,111.9516643
2003,9/23/2003,95,10,Muroami,Caesio cuning,26,406.0182179
2003,9/23/2003,95,10,Muroami,Caesio cuning,33,836.5681066
2003,9/23/2003,95,10,Muroami,Caesio cuning,40,1499.096674
2003,9/23/2003,95,10,Muroami,Caesio cuning,32,762.0423352
2003,9/23/2003,95,10,Muroami,Caesio cuning,29,565.3879448
2003,9/23/2003,95,10,Muroami,Caesio cuning,29,565.3879448
